universal_classname	defn	img1_filename	img2_filename	img3_filename	img4_filename
cabinet	"A case or cupboard usually having doors and shelves. Can be found in a bathroom, kitchen, or other room. Cabinets are not for storing clothes."	cabinet20.jpeg	cabinet21.jpeg	cabinet22.jpeg	
cabinet		cabinet23.jpeg	cabinet24.jpeg	cabinet25.jpeg	
pool-table	game equipment consisting of a heavy table on which pool is played	pooltable1.jpeg	pooltable2.jpeg		
chest-of-drawers	furniture with drawers for keeping clothes	chest-of-drawers-example-1.jpeg	chest-of-drawers-example-7.jpeg		
chest-of-drawers		chest-of-drawers21.jpeg	chest-of-drawers20.jpeg		
wardrobe	a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes	wardrobe-example-6.jpeg	wardrobe-example-1.jpeg		
bench	a long seat for more than one person	bench1.jpeg	bench2.jpeg	bench3.jpeg	
pier-wharf	Either a pier or a wharf. A pier is a platform/low-structure built out from the shore into the water and supported by piles; provides access to ships and boats. A wharf is a level quayside area to which a ship may be moored to load and unload at the edge of water.	pier-wharf1.jpeg	pier-wharf2.jpeg	pier-wharf3.jpeg	
pier-wharf		pier-wharf4.jpeg	pier-wharf5.jpg		
platform	"area alongside a railway track providing convenient access to trains, or a ramp/raised surface at a skatepark"	platform1.jpeg	platform2.jpeg	platform3.jpeg	
platform		platform4.jpeg	platform5.jpeg	platform6.jpeg	
platform		platform7.jpeg	platform8.jpeg		
bridge	a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.	bridge1.jpeg	bridge2.jpeg	bridge3.jpeg	
bridge		bridge4.jpeg	bridge5.jpg		
fence	"a barrier, railing, or other upright structure, typically of metal, wire, or wood, enclosing an area of ground to mark a boundary, control access, or prevent escape. It is generally less sturdy than a guardrail and can be a taller, more flimsy structure."	fence-example-1.jpeg	fence-example-2.jpeg	fence-example-3.jpeg	
fence		fence-example-5.jpeg	fence-example-6.jpeg	fence-example-7.jpeg	
fence		fence-example-8.jpeg	fence-example-9.jpeg	fence-example-10.jpeg	
guardrail	"strong fence/railing at the side of a road or in the middle of an expressway, intended to reduce the risk of serious accidents.  A guardrail sits low to the ground and is made of thick horizontal metal rails. "	guardrail-example-1.jpeg	guardrail-example-2.jpeg	guardrail-example-3.jpg	
guardrail		guardrail-example-4.jpeg	guardrail-example-5.jpeg	guardrail-example-6.jpeg	
guardrail		guardrail-example-7.jpeg	guardrail-example-8.jpeg	guardrail-example-9.jpeg	
guardrail		guardrail-example-10.jpeg	guardrail-example-11.jpeg	guardrail-example-12.jpeg	
guardrail		guardrail-example-13.jpeg	guardrail-example-14.jpeg		
teddy-bear	Stuffed toy in the form of a bear. It is a type of plaything/child's toy (usually plush and stuffed with soft materials).	teddybear1.jpeg	teddybear2.jpeg	teddybear3.jpeg	
plaything-other	"a child's toy, or something used like a toy, that is not a teddy bear."	plaything1.jpeg	plaything2.jpeg	plaything3.jpeg	
plaything-other		plaything4.jpeg	plaything5.jpeg		
building_other	"A building that is not a house or a skyscraper. Commercial, large residential and multi functional buildings qualify. A bulding is a structure that has a roof and walls and stands more or less permanently in one place"	building_other1.jpeg	building_other2.jpeg	building1.jpeg	
building_other		building2.jpeg	building3.jpeg	building4.jpeg	
building_other		building5.jpeg	building6.jpeg	building7.jpeg	
aiport_runway	a strip of level paved surface where planes can take off and land	airport_runway1.jpeg	airport_runway2.jpeg	airport_runway3.jpeg	airport_runway4.jpeg
runway_other	a narrow platform extending from the stage into the audience in a theater or nightclub etc.	runway_other1.jpeg	runway_other2.jpeg		
pavement_sidewalk	walk consisting of a paved area for pedestrians; usually beside a street or roadway (not a road)	pavement_sidewalk1.jpeg	pavement_sidewalk2.jpeg	pavement_sidewalk4.jpeg	
pavement_sidewalk		pavement_sidewalk5.jpeg	pavement_sidewalk3.jpeg		
road	an open way (generally public) for travel or transportation of vehicles				
booth		booth1.jpeg	booth2.jpeg	booth3.jpeg	
booth		booth4.jpeg	booth5.jpeg	booth6.jpeg	
booth		booth7.jpeg	booth8.jpeg		
house	A dwelling that serves as living quarters for one or two families. Generally freestanding.	house1.jpeg	house2.jpeg	house3.jpeg	
house		house4.jpeg	house5.jpeg	house6.jpeg	
house		house7.jpeg	house8.jpeg	house9.jpeg	
skyscraper	a very tall building with many stories (must have at least 40 floors)	skyscraper1.jpeg	skyscraper2.jpeg	skyscraper3.jpeg	
skyscraper		skyscraper4.jpeg	skyscraper5.jpeg		
tower	"tall building such as a flight control tower or cell phone tower, not for residential or commercial use."	tower1.jpeg	tower2.jpeg	tower3.jpeg	
tower		tower4.jpeg			
grandstand	main seating area/stand at a racecourse or stadium consisting of tiers with rows of individual seats that are under a protective roof. Should be a large and permanent structure.	grandstand1.jpeg	grandstand2.jpeg	grandstand3.jpeg	
grandstand		grandstand4.jpeg	grandstand5.jpeg		
wall	"Either: one of the sides of a room or building connecting floor and ceiling or foundation and roof. Or: a masonry fence around a garden, park, or estate."	wall0.jpeg	wall1.jpeg	wall2.jpeg	
carpet	"floor or stair covering made from thick woven fabric, typically shaped to fit a particular room. It is homogenous throughout the whole room."	carpet-example-2.jpg	carpet-example-5.jpg	carpet-example-4.jpg	
carpet		carpet-example-1.jpg	carpet-example-7.jpg	correct_is_carpet.jpg	
floor-mat_rug	"a floor covering of thick woven material or animal skin -- just with limited size, covers only a small section of the floor. Includes rugs, and floor mats (door mats, bath mat). Does not include carpet."	floormat-example-2.jpg	floormatexample1.jpg	rug-example-1.jpg	
floor-mat_rug		rug-example-2.jpg	rug-example-8.jpg	rug-example-4.jpg	
floor-mat_rug		rug-example-3.jpg	rug-example-5.jpg	rug-example-7.jpg	
floor-mat_rug		rug-example-6.jpg			
floor	"The inside lower horizontal surface (as of a room, hallway, tent, or other structure). Must be indoors. This includes homogenous floor coverings that span an entire room, such as carpet, linoleum, or marble."	 			
both_carpet_and_floormat		unlabel-example-2.jpeg	unlabel-example-3.jpeg	unlabel-example-4.jpeg	
both_carpet_and_floormat		unlabel-example-8.jpg	unlabel-example-7.jpeg	unlabel-example-6.jpeg	
both_carpet_and_floormat		unlabel-example-5.jpeg			
river-lake	"River or lake. River: a large natural stream of water, with possible rapids.Lake: a body of (usually fresh) water surrounded by land. Lakes generally have very still water. Should appear naturally formed."	riverlake1.jpeg	riverlake2.jpeg	riverlake3.jpeg	
river-lake		riverlake4.jpeg	riverlake5.jpeg	riverlake6.jpeg	
river-lake		riverlake7.jpeg	riverlake8.jpeg		
water-other	"all other kinds of water, e.g. puddles, ditchwater, aquariums, shallow artificially made ponds, zoo ponds, flooded areas, bathtub water, water coming out of a fire hydrant, water from a kitchen faucet, etc. Is not a lake,  river, fountain, swimming pool, or sea."	water-other3.jpeg	water-other2.jpeg	water-other1.jpeg	
sea	"A sea or ocean. Often has large amounts of waves/surf and a sandy beach. May have surfers on surfboards. Unlike a river or a lake, one generally cannot see the far bank of a sea/ocean."	sea1.jpeg	sea2.jpeg	sea3.jpeg	
sea		sea-example-4.jpeg	sea-example-5.jpeg	sea-example-6.jpeg	
swimming-pool	a manmade pool that provides a facility for swimming (for people only). Often has a painted white or blue basin.	swimmingpool1.jpeg	swimmingpool2.jpeg	swimmingpool3.jpeg	
waterfall	a steep descent of the water of a river	waterfall1.jpg	waterfall2.jpeg	waterfall3.jpeg	
shower_curtain	fabric found next to a bathtub or shower to keep water from spilling out into the bathroom	shower-curtain-1.png	shower-curtain-2.png	shower-curtain-3.png	
shower_curtain		shower-curtain-4.png	shower-curtain-5.png	shower-curtain-6.png	
shower_curtain		shower-curtain-7.png	shower-curtain-8.png	shower-curtain-9.png	
curtain_other	"(billowing, hanging fabric). any other kind of curtain which is NOT a ""shower-curtain. might be installed for privacy or for decoration around a window."	other-curtain-1.png	other-curtain-2.png	other-curtain-3.png	
curtain_other		other-curtain-4.png	other-curtain-5.png	other-curtain-6.png	
curtain_other		other-curtain-7.png	other-curtain-8.png		
fountain	an ornamental structure in a pool or lake from which one or more jets of water are pumped into the air. Includes the jet of water.	fountain-example-3.jpeg	fountain-example-1.jpeg	fountain-example-2.jpeg	
tent	"a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs). For example, a camping tent."	tent1.jpeg	tent2.jpeg	tent3.jpeg	
tent		tent4.jpeg	tent5.jpeg		
awning	"a sheet of canvas or other material stretched on a frame and used to keep the sun or rain off a storefront, window, doorway, or deck. Should be attached to a building."	awning1.jpeg	awning2.jpeg	awning3.jpeg	
awning		awning4.jpeg	awning5.jpeg	awning6.jpeg	
awning		awning7.jpeg			
freestanding-keyboard	a freestanding panel of keys that operate a computer or typewriter. Should not be part of a laptop. Connected with a cord to a computer.	freestanding-keyboard1.jpeg	freestanding-keyboard2.jpeg	freestanding-keyboard3.jpeg	
freestanding-keyboard		freestanding-keyboard4.jpeg	freestanding-keyboard5.jpeg		
laptop-keyboard	keyboard of a laptop	laptop-keyboard4.jpeg	laptop-keyboard1.jpeg	laptop-keyboard5.jpeg	
laptop-keyboard		laptop-keyboard3.jpeg	laptop-keyboard2.jpeg		
base	"podium, outdoor foodstand rack, museum exhibit stands,"				
